,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM1031660,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031661,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031663,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031667,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031668,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031673,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031680,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031681,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031682,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031549,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031550,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031551,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031552,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031556,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031557,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031558,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031559,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031560,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031561,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031562,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031563,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031565,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031566,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031568,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031569,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031570,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031571,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031573,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031575,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031576,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031577,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031578,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031579,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031581,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031582,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031583,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031585,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031586,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031587,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031588,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031589,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031590,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031591,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031592,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031593,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031594,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031595,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031596,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031598,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031599,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031600,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031601,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031602,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031603,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031604,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031605,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031606,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031607,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031608,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031609,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031610,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031611,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031612,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031614,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031619,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031622,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031625,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031629,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031630,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031632,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031633,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031634,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031636,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031638,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031639,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031640,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031642,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031647,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031648,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031649,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031650,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031654,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031655,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031656,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031657,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031658,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031659,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031662,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031664,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031665,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031666,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031669,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031670,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031671,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031672,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031674,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031675,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031676,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031677,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031678,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031679,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031683,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
GSM1031684,Homo sapiens,RNA,COPD subject PBMC,COPD,COPD subject PBMC,0
