,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM1647704,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 46",0
GSM1647705,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 47",0
GSM1647706,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 48",0
GSM1647707,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 49",0
GSM1647708,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 50",0
GSM1647716,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 51",0
GSM1647717,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 52",0
GSM1647721,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 53",0
GSM1647722,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 54",0
GSM1647723,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 55",0
GSM1647724,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 56",0
GSM1647725,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 57",0
GSM1647726,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 58",0
GSM1647729,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 59",0
GSM1647730,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 60",0
GSM1647731,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 61",0
GSM1647732,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 62",0
GSM1647631,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 01",1
GSM1647633,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 02",1
GSM1647634,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 03",1
GSM1647635,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 04",1
GSM1647636,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 05",1
GSM1647637,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 06",1
GSM1647638,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 07",1
GSM1647639,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 08",1
GSM1647642,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 09",1
GSM1647643,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 10",1
GSM1647644,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 11",1
GSM1647677,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 12",1
GSM1647678,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 13",1
GSM1647679,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 14",1
GSM1647680,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 15",1
GSM1647681,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 16",1
GSM1647682,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 17",1
GSM1647683,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 18",1
GSM1647684,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 19",1
GSM1647685,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 20",1
GSM1647686,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 21",1
GSM1647687,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 22",1
GSM1647688,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 23",1
GSM1647689,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 24",1
GSM1647690,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 25",1
GSM1647691,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 26",1
GSM1647692,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 27",1
GSM1647693,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 28",1
GSM1647694,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 29",1
GSM1647701,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 30",1
GSM1647702,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 31",1
GSM1647709,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 32",1
GSM1647710,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 33",1
GSM1647711,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 34",1
GSM1647712,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 35",1
GSM1647713,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 36",1
GSM1647714,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 37",1
GSM1647715,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 38",1
GSM1647718,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 39",1
GSM1647719,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 40",1
GSM1647720,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 41",1
GSM1647727,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 42",1
GSM1647728,Homo sapiens,RNA,"airway epithelium, healthy",Healthy,"Airway epithelium, healthy sample 43",1
