Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
response to transforming growth factor beta stimulus	300	9.815782E-29	3.415892136E-27	2.234707	241	0.0210095	258	0.000820402716279	1.377132	95	157	0.01198436
cellular response to transforming growth factor beta stimulus	301	1.121843E-28	3.89104349501661E-27	2.241156	239	0.02083515	272	0.001085715092647	1.371371	94	156	0.01185821
cellular response to external stimulus	302	1.787104E-28	6.17793568211921E-27	2.229082	240	0.02092233	222	0.000231055587568	1.378179	109	180	0.01375047
negative regulation of intracellular protein kinase cascade	306	4.554246E-28	1.55380157647059E-26	2.257705	230	0.02005056	147	5.28545453877551E-06	1.483001	101	155	0.01274126
regulation of stem cell differentiation	318	7.11983E-27	2.33745362264151E-25	2.625268	164	0.01429692	194	6.8637941443299E-05	1.630031	53	74	0.00668601
regulation of innate immune response	319	8.447516E-27	2.7646416E-25	2.037412	277	0.02414785	353	0.004887295240793	1.266501	133	239	0.0167781
respiratory tube development	322	1.303482E-26	4.22619629813665E-25	2.046361	272	0.02371197	296	0.002039952016216	1.351311	95	160	0.01198436
lung development	327	5.108276E-26	1.6308991266055E-24	2.045049	266	0.02318891	347	0.00442043740634	1.333644	92	157	0.0116059
cell cortex	38	5.300026E-39	1.76435076052632E-37	2.275734	319	0.02780926	39	0.001023866348718	1.317622	121	209	0.01526429
anchoring junction	45	8.797321E-32	2.47302468111111E-30	2.083258	314	0.02737338	28	3.81696808035714E-06	1.40539	134	217	0.01690425
adherens junction	49	2.602074E-28	6.71759920408163E-27	2.050332	289	0.02519397	29	3.72194494137931E-06	1.422433	125	200	0.01576889
cell-substrate junction	52	3.79845E-26	9.24046009615385E-25	2.259422	213	0.01856856	36	0.000803371983333	1.394385	87	142	0.01097515
cell cortex part	53	1.079818E-24	2.57730145283019E-23	2.506285	163	0.01420975	72	0.030240229097222	1.33876	60	102	0.007569068
focal adhesion	57	2.585543E-24	5.73809104385965E-23	2.276493	194	0.01691221	38	0.000896411290789	1.407231	81	131	0.01021824
cell-substrate adherens junction	60	2.013318E-23	4.24474545E-22	2.228948	195	0.01699939	43	0.001767200293023	1.382394	82	135	0.01034439
cortical cytoskeleton	66	9.964869E-22	1.909933225E-20	2.876268	112	0.009763752	57	0.010796564166667	1.504404	39	59	0.004919894
extracellular vesicular exosome	67	7.718425E-21	1.45728472014925E-19	2.599475	127	0.0110714	61	0.017072048057377	1.426226	47	75	0.005929103
extracellular membrane-bounded organelle	69	3.368142E-20	6.174927E-19	2.551222	127	0.0110714	76	0.030683690197369	1.389181	47	77	0.005929103
actomyosin	81	1.769433E-16	2.76337375925926E-15	2.632221	96	0.00836893	63	0.020986470476191	1.489675	36	55	0.004541441
transcriptional repressor complex	87	5.710646E-16	8.30341056321839E-15	2.424163	108	0.009415047	42	0.00178001945	1.551745	45	66	0.005676801
ribosomal subunit	95	2.341263E-14	3.11757652105263E-13	2.256237	111	0.009676576	83	0.038313496987952	1.279151	77	137	0.009713637
COPI-coated vesicle membrane	127	2.285176E-10	2.27617924409449E-09	4.258398	29	0.002528114	71	0.02964046443662	1.950765	12	14	0.001513814
cytoplasmic stress granule	128	3.756537E-10	3.71251508203125E-09	2.788787	50	0.004358818	64	0.020962611484375	1.668988	22	30	0.002775325
COPI vesicle coat	129	4.62381E-10	4.53420127906977E-09	4.257888	28	0.002440938	91	0.045591225549451	1.925755	11	13	0.001387662
cortical actin cytoskeleton	130	5.304569E-10	5.16175368076923E-09	2.535483	58	0.005056229	85	0.042108382411765	1.560612	24	35	0.003027627
protein serine/threonine phosphatase complex	136	1.954026E-09	1.81753153676471E-08	2.244251	69	0.006015169	70	0.028556146142857	1.534904	29	43	0.003658383
methyltransferase complex	153	2.173036E-08	1.79666048366013E-07	2.069804	72	0.006276698	54	0.009580763296296	1.482778	43	66	0.005424499
histone methyltransferase complex	157	2.813452E-08	2.26688966878981E-07	2.067642	71	0.006189521	53	0.009014733698113	1.493554	42	64	0.005298347
kinase binding	16	1.898386E-60	4.37577973E-58	2.154505	561	0.04890594	6	1.84681886133333E-09	1.37851	255	421	0.03216854
protein kinase binding	26	2.287744E-54	3.24507687384615E-52	2.149207	507	0.04419841	10	1.9874838528E-08	1.375144	229	379	0.02888861
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	72	2.566707E-16	1.31472436333333E-14	2.007944	168	0.01464563	18	9.13022998222222E-05	1.553734	71	104	0.00895673
protein kinase inhibitor activity	76	1.451357E-15	7.04290081052632E-14	2.703574	86	0.007497167	58	0.014433954510345	1.559408	37	54	0.004667592
kinase inhibitor activity	80	3.293324E-15	1.518222364E-13	2.61198	89	0.007758696	53	0.011270583667925	1.55719	39	57	0.004919894
protein serine/threonine phosphatase activity	95	3.655216E-11	1.41899332715789E-09	2.439211	71	0.006189521	59	0.01990342340339	1.561887	35	51	0.00441529
retinoid X receptor binding	252	5.692105E-05	0.000833035049206	2.648391	22	0.00191788	56	0.012358204814286	2.113329	13	14	0.001639965
